year,round,driver,drivernumber,lap_number,tyre_compound
2024,1,VER,1,1.0,SOFT
2024,1,VER,1,2.0,SOFT
2024,1,VER,1,3.0,SOFT
2024,1,VER,1,4.0,SOFT
2024,1,VER,1,5.0,SOFT
2024,1,VER,1,6.0,SOFT
2024,1,VER,1,7.0,SOFT
2024,1,VER,1,8.0,SOFT
2024,1,VER,1,9.0,SOFT
2024,1,VER,1,10.0,SOFT
2024,1,VER,1,11.0,SOFT
2024,1,VER,1,12.0,SOFT
2024,1,VER,1,13.0,SOFT
2024,1,VER,1,14.0,SOFT
2024,1,VER,1,15.0,SOFT
2024,1,VER,1,16.0,SOFT
2024,1,VER,1,17.0,SOFT
2024,1,VER,1,18.0,HARD
2024,1,VER,1,19.0,HARD
2024,1,VER,1,20.0,HARD
2024,1,VER,1,21.0,HARD
2024,1,VER,1,22.0,HARD
2024,1,VER,1,23.0,HARD
2024,1,VER,1,24.0,HARD
2024,1,VER,1,25.0,HARD
2024,1,VER,1,26.0,HARD
2024,1,VER,1,27.0,HARD
2024,1,VER,1,28.0,HARD
2024,1,VER,1,29.0,HARD
2024,1,VER,1,30.0,HARD
2024,1,VER,1,31.0,HARD
2024,1,VER,1,32.0,HARD
2024,1,VER,1,33.0,HARD
2024,1,VER,1,34.0,HARD
2024,1,VER,1,35.0,HARD
2024,1,VER,1,36.0,HARD
2024,1,VER,1,37.0,HARD
2024,1,VER,1,38.0,SOFT
2024,1,VER,1,39.0,SOFT
2024,1,VER,1,40.0,SOFT
2024,1,VER,1,41.0,SOFT
2024,1,VER,1,42.0,SOFT
2024,1,VER,1,43.0,SOFT
2024,1,VER,1,44.0,SOFT
2024,1,VER,1,45.0,SOFT
2024,1,VER,1,46.0,SOFT
2024,1,VER,1,47.0,SOFT
2024,1,VER,1,48.0,SOFT
2024,1,VER,1,49.0,SOFT
2024,1,VER,1,50.0,SOFT
2024,1,VER,1,51.0,SOFT
2024,1,VER,1,52.0,SOFT
2024,1,VER,1,53.0,SOFT
2024,1,VER,1,54.0,SOFT
2024,1,VER,1,55.0,SOFT
2024,1,VER,1,56.0,SOFT
2024,1,VER,1,57.0,SOFT
2024,1,PER,11,1.0,SOFT
2024,1,PER,11,2.0,SOFT
2024,1,PER,11,3.0,SOFT
2024,1,PER,11,4.0,SOFT
2024,1,PER,11,5.0,SOFT
2024,1,PER,11,6.0,SOFT
2024,1,PER,11,7.0,SOFT
2024,1,PER,11,8.0,SOFT
2024,1,PER,11,9.0,SOFT
2024,1,PER,11,10.0,SOFT
2024,1,PER,11,11.0,SOFT
2024,1,PER,11,12.0,SOFT
2024,1,PER,11,13.0,HARD
2024,1,PER,11,14.0,HARD
2024,1,PER,11,15.0,HARD
2024,1,PER,11,16.0,HARD
2024,1,PER,11,17.0,HARD
2024,1,PER,11,18.0,HARD
2024,1,PER,11,19.0,HARD
2024,1,PER,11,20.0,HARD
2024,1,PER,11,21.0,HARD
2024,1,PER,11,22.0,HARD
2024,1,PER,11,23.0,HARD
2024,1,PER,11,24.0,HARD
2024,1,PER,11,25.0,HARD
2024,1,PER,11,26.0,HARD
2024,1,PER,11,27.0,HARD
2024,1,PER,11,28.0,HARD
2024,1,PER,11,29.0,HARD
2024,1,PER,11,30.0,HARD
2024,1,PER,11,31.0,HARD
2024,1,PER,11,32.0,HARD
2024,1,PER,11,33.0,HARD
2024,1,PER,11,34.0,HARD
2024,1,PER,11,35.0,HARD
2024,1,PER,11,36.0,HARD
2024,1,PER,11,37.0,SOFT
2024,1,PER,11,38.0,SOFT
2024,1,PER,11,39.0,SOFT
2024,1,PER,11,40.0,SOFT
2024,1,PER,11,41.0,SOFT
2024,1,PER,11,42.0,SOFT
2024,1,PER,11,43.0,SOFT
2024,1,PER,11,44.0,SOFT
2024,1,PER,11,45.0,SOFT
2024,1,PER,11,46.0,SOFT
2024,1,PER,11,47.0,SOFT
2024,1,PER,11,48.0,SOFT
2024,1,PER,11,49.0,SOFT
2024,1,PER,11,50.0,SOFT
2024,1,PER,11,51.0,SOFT
2024,1,PER,11,52.0,SOFT
2024,1,PER,11,53.0,SOFT
2024,1,PER,11,54.0,SOFT
2024,1,PER,11,55.0,SOFT
2024,1,PER,11,56.0,SOFT
2024,1,PER,11,57.0,SOFT
